match_id,home_player_avg_wei,home_player_avg_hei,away_player_avg_wei,away_player_avg_hei
14569,79.64,182.27,79.3,182.1
14570,76.8,182.2,74.2,182.2
14571,79.0,184.18,75.7,183.4
14572,75.91,181.27,76.8,182.2
14573,76.27,179.36,74.0,181.3
14574,76.09,180.09,76.43,183.86
14575,79.3,182.1,77.0,185.89
14576,74.2,182.2,75.78,182.78
14577,75.7,183.4,79.64,182.27
14578,79.27,183.09,79.0,184.18
14579,78.8,184.3,75.11,182.89
14580,77.38,182.75,79.36,185.36
14581,79.56,185.0,72.82,181.09
15037,75.78,179.78,70.44,175.89
15039,77.4,180.2,73.78,178.67
15041,74.09,182.09,73.71,179.0
15043,74.14,181.86,72.0,178.89
15045,74.27,181.27,78.38,181.62
15047,74.0,181.2,72.27,179.27
15049,77.25,183.12,77.71,182.86
15051,74.91,182.09,76.78,183.11
15053,72.25,179.5,77.1,183.1
15055,72.25,179.88,75.78,182.56
15057,72.5,180.5,72.82,179.91
15059,78.0,184.57,75.6,183.6
15061,75.5,180.0,76.5,181.0
15063,82.71,187.57,74.43,182.71
15065,65.5,173.0,77.57,183.14
15067,78.25,183.88,74.62,181.75
15069,75.22,180.22,80.0,184.0
15071,78.62,185.12,65.5,173.0
15073,77.73,185.64,74.62,180.25
15075,75.29,183.29,80.0,184.0
15079,75.71,180.71,75.5,180.0
15081,77.38,185.62,75.71,183.0
15083,83.17,187.0,78.2,181.2
15085,73.62,183.62,76.5,181.0
15087,78.0,181.5,76.5,181.88
15091,76.62,185.62,73.14,180.86
15093,75.86,182.86,70.17,180.0
15095,73.86,181.71,74.2,179.6
15097,72.83,181.0,76.17,184.0
15099,73.43,179.43,80.2,182.2
15101,58.0,166.0,0,0
15105,73.6,177.7,74.18,180.64
15107,77.3,181.7,74.0,178.2
15183,71.67,178.22,73.56,178.89
15209,73.73,177.09,74.0,179.0
15211,74.67,181.0,71.11,176.89
15213,74.44,181.11,77.0,179.0
15263,79.33,185.83,0,0
15265,69.67,180.33,0,0
15301,72.89,180.78,74.67,183.22
15303,75.2,181.4,76.0,183.55
15305,77.8,183.4,78.89,183.56
15307,74.0,183.33,77.56,183.56
15309,78.2,184.7,72.25,179.5
15311,73.8,183.9,79.0,185.9
15313,75.1,180.5,80.33,186.89
15315,76.5,181.9,78.6,183.6
15325,69.25,180.5,72.17,183.33
15636,74.22,181.11,71.0,179.64
15637,71.55,178.91,73.91,180.0
15640,74.5,180.4,76.2,181.7
15641,71.45,181.73,72.36,178.73
15644,74.8,181.1,75.1,184.0
15646,72.88,180.62,75.62,180.12
15647,73.45,178.82,76.9,181.4
15648,71.36,181.09,77.64,182.73
15650,75.55,180.82,75.0,180.67
15651,76.7,184.4,74.36,179.36
15652,72.27,179.27,75.27,179.18
15656,75.56,182.78,72.36,178.91
15657,76.73,182.27,73.8,182.2
15660,74.6,180.1,73.82,181.0
15661,74.45,181.91,75.56,182.78
15664,72.0,182.18,73.2,180.5
15666,72.91,179.27,76.91,182.82
15667,75.9,182.0,69.7,182.1
15668,73.55,181.0,77.62,182.75
15670,74.9,179.5,71.5,180.2
15671,75.56,182.78,75.9,181.8
15672,76.7,181.7,70.9,181.0
15676,72.9,182.2,71.55,177.09
15677,78.73,182.27,74.22,180.44
15680,73.36,180.64,76.64,182.18
15682,73.64,180.73,76.0,180.09
15683,77.8,182.0,75.55,180.45
15684,77.45,181.91,71.64,182.45
15685,73.27,183.45,74.4,180.9
15687,74.27,180.0,75.0,182.2
15688,74.73,179.18,78.0,183.7
15689,76.6,181.9,72.18,178.64
15691,77.73,183.36,74.55,178.73
15692,73.8,182.1,74.09,182.82
15693,75.2,180.9,75.78,182.56
15694,72.55,178.36,78.0,181.73
15695,74.6,179.8,71.64,177.27
15698,78.18,182.82,77.44,183.11
15699,74.91,181.82,73.18,179.91
15701,74.27,181.27,71.38,179.75
15702,74.36,180.18,75.91,181.73
15703,72.0,180.2,74.36,179.82
15704,74.9,182.2,77.18,181.73
15705,77.45,181.82,76.09,182.18
