match_id,home_tean_id,home_form,away_tean_id,away_form,ht_score,ft_score
14489,7,4-4-2,13,4-3-3,1-0,1-1
14488,20,4-3-3,10,4-4-2,2-0,4-0
14482,19,3-4-1-2,4,4-3-3,1-0,2-0
14490,15,4-1-4-1,14,4-5-1,1-0,4-0
27594840,14,4-3-3,6,3-5-2,0-0,0-0
27594845,4,4-3-3,18,4-2-3-1,1-0,3-0
32464900,2,4-4-2,8,4-4-2,0-0,0-3
32464904,13,4-2-3-1,19,4-2-3-1,1-0,1-1
32465573,11,4-2-3-1,15,4-1-4-1,0-0,1-1
32465574,12,4-2-3-1,18,4-4-2,0-0,2-1
32465575,3,4-2-3-1,16,3-5-2,0-0,0-2
32465576,5,4-2-3-1,9,4-3-3,0-2,0-2
32466483,17,4-4-1-1,6,3-5-2,0-0,3-0
32466488,14,4-3-3,20,4-3-3,1-0,1-2
