match_id,season,HTF,HP1N,HP1P,HP2N,HP2P,HP3N,HP3P,HP4N,HP4P,HP5N,HP5P,HP6N,HP6P,HP7N,HP7P,HP8N,HP8P,HP9N,HP9P,HP10N,HP10P,HP11N,HP11P,ATF,AP1N,AP1P,AP2N,AP2P,AP3N,AP3P,AP4N,AP4P,AP5N,AP5P,AP6N,AP6P,AP7N,AP7P,AP8N,AP8P,AP9N,AP9P,AP10N,AP10P,AP11N,AP11P
15174484,20200531,NaN,1,G,15,D,33,F,41,M,30,M,16,F,13,D,50,M,6,D,22,F,25,M,NaN,1,G,5,M,11,F,49,F,27,M,6,M,4,D,22,D,33,D,8,M,24,D
15174489,20200531,NaN,1,G,20,F,24,D,23,D,29,M,19,D,6,M,2,D,8,M,25,M,10,M,NaN,44,G,4,D,8,M,26,D,28,M,37,M,19,D,7,M,13,F,40,M,3,D
15174495,20200531,NaN,21,G,25,M,15,D,5,M,6,M,17,M,20,F,10,M,2,D,16,D,22,D,NaN,25,G,38,D,6,D,23,M,2,M,32,M,19,D,8,D,13,F,11,F,16,M
15174499,20200531,NaN,1,G,3,M,27,D,14,F,11,F,30,F,5,D,7,M,41,M,8,M,20,D,NaN,1,G,11,F,6,M,8,M,41,M,5,M,2,D,19,M,25,M,4,D,13,D
15237970,20200613,NaN,34,G,5,D,14,M,30,M,31,M,32,D,35,F,27,M,4,F,20,D,11,F,NaN,1,G,20,F,24,D,23,D,29,M,19,D,6,M,2,D,8,M,25,M,10,M
15237973,20200613,NaN,1,G,27,F,3,D,34,D,44,F,25,F,23,D,4,D,15,M,2,M,16,F,NaN,1,G,15,D,33,F,41,M,30,M,16,F,13,D,50,M,6,D,22,F,25,M
15237979,20200613,NaN,1,G,5,M,11,F,49,F,27,M,6,M,4,D,22,D,33,D,8,M,24,D,NaN,39,G,11,F,10,F,2,D,5,D,16,M,14,F,22,M,18,D,7,M,17,M
15237984,20200613,NaN,21,G,6,M,30,F,5,D,9,F,17,F,44,D,33,D,13,D,26,M,25,D,NaN,22,G,15,D,40,M,31,F,14,M,4,M,3,D,11,F,5,D,29,D,19,D
15237989,20200613,NaN,31,G,7,M,8,M,33,D,39,D,20,M,9,F,37,M,16,D,4,M,11,M,NaN,24,G,18,M,26,D,13,D,29,F,23,M,7,M,2,D,15,F,36,D,5,M
15237995,20200613,NaN,17,G,4,D,8,M,24,D,9,F,27,M,13,D,14,F,25,D,20,D,39,M,NaN,21,G,25,M,15,D,5,M,6,M,17,M,20,F,10,M,2,D,16,D,22,D
15238003,20200613,NaN,1,G,11,F,6,M,8,M,41,M,5,M,2,D,19,M,25,M,4,D,13,D,NaN,13,G,28,M,15,M,44,M,24,F,37,D,49,D,5,D,8,M,9,F,32,D
15238009,20200613,NaN,25,G,38,D,6,D,23,M,2,M,32,M,19,D,8,D,13,F,11,F,16,M,NaN,1,G,19,D,4,D,3,D,27,D,29,M,8,M,10,M,18,F,15,M,33,F
15243032,20200614,NaN,44,G,4,D,8,M,26,D,28,M,37,M,19,D,7,M,13,F,40,M,3,D,NaN,1,G,3,M,27,D,14,F,11,F,30,F,5,D,7,M,41,M,8,M,20,D
15245593,20200620,NaN,24,G,18,M,26,D,13,D,29,F,23,M,7,M,2,D,15,F,36,D,5,M,NaN,44,G,4,D,8,M,26,D,28,M,37,M,19,D,7,M,13,F,40,M,3,D
15245594,20200620,NaN,1,G,19,D,4,D,3,D,27,D,29,M,8,M,10,M,18,F,15,M,33,F,NaN,34,G,5,D,14,M,30,M,31,M,32,D,35,F,27,M,4,F,20,D,11,F
15245595,20200620,NaN,22,G,15,D,40,M,31,F,14,M,4,M,3,D,11,F,5,D,29,D,19,D,NaN,13,G,28,M,15,M,44,M,24,F,37,D,49,D,5,D,8,M,9,F,32,D
15245596,20200620,NaN,1,G,15,D,33,F,41,M,30,M,16,F,13,D,50,M,6,D,22,F,25,M,NaN,1,G,3,M,27,D,14,F,11,F,30,F,5,D,7,M,41,M,8,M,20,D
15246026,20200621,NaN,1,G,20,F,24,D,23,D,29,M,19,D,6,M,2,D,8,M,25,M,10,M,NaN,25,G,38,D,6,D,23,M,2,M,32,M,19,D,8,D,13,F,11,F,16,M
15246027,20200621,NaN,39,G,11,F,10,F,2,D,5,D,16,M,14,F,22,M,18,D,7,M,17,M,NaN,31,G,7,M,8,M,33,D,39,D,20,M,9,F,37,M,16,D,4,M,11,M
15246028,20200621,NaN,1,G,5,M,11,F,49,F,27,M,6,M,4,D,22,D,33,D,8,M,24,D,NaN,1,G,27,F,3,D,34,D,44,F,25,F,23,D,4,D,15,M,2,M,16,F
15246029,20200621,NaN,21,G,6,M,30,F,5,D,9,F,17,F,44,D,33,D,13,D,26,M,25,D,NaN,17,G,4,D,8,M,24,D,9,F,27,M,13,D,14,F,25,D,20,D,39,M
15246030,20200621,NaN,21,G,25,M,15,D,5,M,6,M,17,M,20,F,10,M,2,D,16,D,22,D,NaN,1,G,11,F,6,M,8,M,41,M,5,M,2,D,19,M,25,M,4,D,13,D
15248335,20200627,NaN,34,G,5,D,14,M,30,M,31,M,32,D,35,F,27,M,4,F,20,D,11,F,NaN,17,G,4,D,8,M,24,D,9,F,27,M,13,D,14,F,25,D,20,D,39,M
15248337,20200627,NaN,1,G,27,F,3,D,34,D,44,F,25,F,23,D,4,D,15,M,2,M,16,F,NaN,24,G,18,M,26,D,13,D,29,F,23,M,7,M,2,D,15,F,36,D,5,M
15248338,20200627,NaN,39,G,11,F,10,F,2,D,5,D,16,M,14,F,22,M,18,D,7,M,17,M,NaN,1,G,20,F,24,D,23,D,29,M,19,D,6,M,2,D,8,M,25,M,10,M
15248340,20200627,NaN,44,G,4,D,8,M,26,D,28,M,37,M,19,D,7,M,13,F,40,M,3,D,NaN,1,G,5,M,11,F,49,F,27,M,6,M,4,D,22,D,33,D,8,M,24,D
15248342,20200627,NaN,31,G,7,M,8,M,33,D,39,D,20,M,9,F,37,M,16,D,4,M,11,M,NaN,21,G,6,M,30,F,5,D,9,F,17,F,44,D,33,D,13,D,26,M,25,D
15248344,20200627,NaN,1,G,11,F,6,M,8,M,41,M,5,M,2,D,19,M,25,M,4,D,13,D,NaN,1,G,19,D,4,D,3,D,27,D,29,M,8,M,10,M,18,F,15,M,33,F
