match_id,team_id,fouls,injuries,corners,offsides,shots_total,shots_on_target,shots_off_target,shots_blocked,possessionpercent,yellowcards,yellowredcards,redcards,substitutions,goal_kick,goal_attempts,free_kick,throw_in,ball_safe,goals,penalties,attacks,dangerous_attacks
47680,3690,18,5,5,3,9,2,6,1,40,5,0,0,0,8,8,10,15,0,1,0,0,0
47680,3699,10,2,3,0,6,2,3,1,60,2,0,0,0,9,5,21,22,0,0,0,0,0
47681,3691,16,NaN,4,1,4,3,1,0,49,1,0,0,0,8,4,23,27,0,0,0,0,0
47681,3700,22,NaN,6,1,10,2,5,3,51,1,0,0,0,3,7,17,27,0,0,0,0,0
47682,3704,15,3,4,0,20,5,6,9,59,1,0,0,0,4,11,25,23,0,0,0,0,0
47682,3692,19,2,3,6,6,1,1,4,41,3,0,0,0,11,2,15,20,0,0,0,0,0
47683,3692,15,1,4,1,8,5,3,0,43,2,0,0,0,9,8,10,17,0,0,0,0,0
47683,3704,8,1,4,2,18,6,5,7,57,2,0,0,0,9,11,16,11,0,2,1,0,0
77410565,86,NaN,2,10,0,0,NaN,NaN,NaN,0,2,0,0,3,0,0,0,0,40,0,0,28,32
77410565,2260,NaN,1,2,0,0,NaN,NaN,NaN,0,3,0,0,2,0,0,0,0,58,1,0,24,18
77410569,2266,NaN,NaN,5,0,0,NaN,NaN,NaN,0,1,0,0,2,0,0,0,0,50,1,0,24,26
77410569,2254,NaN,NaN,4,0,0,NaN,NaN,NaN,0,1,0,0,2,0,0,0,0,49,0,0,26,25
80934463,2265,9,0,7,3,13,10,3,NaN,64,2,0,0,3,5,13,4,17,38,1,1/1,31,31
80934463,2262,3,3,3,1,4,2,2,NaN,36,1,0,0,3,12,4,12,19,64,1,0/0,20,16
80936933,2263,19,2,6,2,10,7,3,NaN,42,2,0,0,3,11,10,16,24,48,2,0/0,27,25
80936933,2261,13,1,3,3,13,3,10,NaN,58,1,0,0,3,9,13,21,22,39,1,0/0,27,34
80936936,2258,NaN,1,9,0,0,NaN,NaN,NaN,0,3,0,0,3,0,0,0,0,44,1,0,33,23
80936936,105,NaN,0,8,0,0,NaN,NaN,NaN,0,1,0,0,3,0,0,0,0,42,2,1,33,25
80936944,2805,21,0,2,0,12,4,6,2,55,3,0,0,3,6,10,18,17,43,2,0/0,25,32
80936944,2264,17,5,7,1,10,4,4,2,45,3,0,0,3,15,8,21,17,43,2,0/0,26,31
80936948,2256,NaN,0,4,0,0,NaN,NaN,NaN,0,2,0,0,2,0,0,0,0,40,1,1,25,35
80936948,2255,NaN,1,1,0,0,NaN,NaN,NaN,0,4,0,0,1,0,0,0,0,61,3,0,18,21
80939152,2259,NaN,NaN,12,0,0,NaN,NaN,NaN,0,3,0,0,2,0,0,0,0,37,1,0,26,37
80939152,132,NaN,NaN,7,0,0,NaN,NaN,NaN,0,2,0,0,3,0,0,0,0,49,2,0,24,27
80939157,134,14,3,5,1,6,3,1,2,44,1,0,0,3,14,4,15,18,56,1,0/0,23,21
80939157,2257,14,2,8,1,25,7,11,7,56,2,0,0,1,6,18,15,20,26,1,0/0,22,52
16409,2262,NaN,0,5,0,0,NaN,NaN,NaN,0,3,0,0,3,0,0,0,0,57,0,0,27,16
16409,2805,NaN,1,5,0,0,NaN,NaN,NaN,0,3,0,0,3,0,0,0,0,49,1,3,22,29
32309,105,11,0,7,2,17,4,11,2,55,1,0,0,3,10,15,12,22,30,1,0/0,34,36
32309,134,11,4,1,1,7,3,3,1,45,1,0,0,3,17,6,13,16,58,1,0/0,25,17
32310,2261,6,0,6,0,20,11,5,4,72,0,0,0,3,10,16,13,25,22,1,0/0,31,47
32310,2256,12,2,5,1,10,5,5,0,28,1,0,0,3,10,10,6,27,48,2,0/0,18,34
32313,2260,NaN,3,8,0,0,NaN,NaN,NaN,0,1,0,0,3,0,0,0,0,47,1,0,23,30
32313,2259,NaN,1,7,0,0,NaN,NaN,NaN,0,2,0,0,3,0,0,0,0,57,0,0,20,23
126474,2254,NaN,0,5,0,0,NaN,NaN,NaN,0,1,0,0,3,0,0,0,0,43,2,0,30,27
126474,2265,NaN,1,2,0,0,NaN,NaN,NaN,0,1,0,0,3,0,0,0,0,56,1,0,27,17
126476,2257,NaN,NaN,6,0,0,NaN,NaN,NaN,0,0,0,0,3,0,0,0,0,47,0,0,27,26
126476,86,NaN,NaN,6,0,0,NaN,NaN,NaN,0,0,0,0,3,0,0,0,0,40,4,0,29,31
126478,132,7,1,4,3,12,6,6,NaN,56,3,0,0,3,6,12,13,25,41,3,0/0,27,32
126478,2258,11,1,4,2,6,4,2,NaN,44,2,0,0,3,13,6,10,28,51,1,0/0,29,20
126479,2264,15,1,2,2,12,6,5,1,55,2,0,0,3,3,11,14,23,32,3,0/0,26,42
126479,2263,13,1,1,1,3,1,2,0,45,0,0,1,3,10,3,17,25,68,1,0/0,19,13
127010,2255,18,1,4,1,5,3,2,0,38,3,0,0,3,20,5,20,13,56,1,0/0,20,24
127010,2266,19,1,8,1,18,8,6,4,62,3,0,0,3,5,14,19,20,30,2,0/0,28,42
128472,2256,NaN,4,1,0,0,NaN,NaN,NaN,0,2,0,0,2,0,0,0,0,58,0,0,28,14
128472,2257,NaN,3,5,0,0,NaN,NaN,NaN,0,2,0,0,2,0,0,0,0,41,0,0,27,32
129017,2258,NaN,1,7,0,0,NaN,NaN,NaN,0,3,0,0,3,0,0,0,0,36,4,1,28,36
129017,2255,NaN,4,2,0,0,NaN,NaN,NaN,0,1,0,0,3,0,0,0,0,60,1,0,24,16
129018,134,10,2,6,1,7,2,3,2,46,1,0,0,3,7,5,19,22,35,1,0/0,26,39
129018,2260,19,2,5,0,12,5,5,2,54,4,0,1,3,8,10,11,13,53,3,0/0,19,28
129020,2805,NaN,NaN,6,0,0,NaN,NaN,NaN,0,4,0,0,3,0,0,0,0,41,2,0,24,35
129020,2254,NaN,NaN,8,0,0,NaN,NaN,NaN,0,2,0,0,3,0,0,0,0,41,3,0,23,36
129021,2265,NaN,1,3,0,0,NaN,NaN,NaN,0,2,0,0,3,0,0,0,0,60,1,0,24,16
129021,2261,NaN,0,6,0,0,NaN,NaN,NaN,0,1,0,0,3,0,0,0,0,36,0,0,39,25
131932,2266,NaN,NaN,6,0,0,NaN,NaN,NaN,0,5,1,0,2,0,0,0,0,37,0,0,30,33
131932,105,NaN,NaN,5,0,0,NaN,NaN,NaN,0,2,0,0,1,0,0,0,0,42,0,0,28,30
131933,86,NaN,1,5,0,0,NaN,NaN,NaN,0,1,0,0,3,0,0,0,0,39,0,0,34,27
131933,132,NaN,1,1,0,0,NaN,NaN,NaN,0,0,0,0,3,0,0,0,0,58,1,0,28,14
131934,2264,17,0,12,2,14,4,5,5,77,2,0,0,3,4,9,13,22,28,1,1/1,22,50
131934,2262,13,4,2,0,5,2,3,0,23,1,1,0,3,13,5,19,17,60,1,0/0,24,16
132262,2263,NaN,NaN,4,0,0,NaN,NaN,NaN,0,1,0,1,3,0,0,0,0,54,0,0,29,17
132262,2259,NaN,NaN,5,0,0,NaN,NaN,NaN,0,6,1,0,3,0,0,0,0,36,0,1,40,24
149641,2259,NaN,3,5,0,0,NaN,NaN,NaN,0,3,0,0,3,0,0,0,0,36,2,1,28,36
149641,2264,NaN,0,4,0,0,NaN,NaN,NaN,0,3,0,0,3,0,0,0,0,43,2,0,26,31
587623,2257,NaN,NaN,4,0,0,NaN,NaN,NaN,0,4,0,1,3,0,0,0,0,55,1,0,25,20
587623,2263,NaN,NaN,5,0,0,NaN,NaN,NaN,0,4,0,0,3,0,0,0,0,30,1,1,44,26
587624,2254,NaN,0,4,0,0,NaN,NaN,NaN,0,2,0,0,3,0,0,0,0,53,0,0,28,19
587624,2256,NaN,1,10,0,0,NaN,NaN,NaN,0,3,0,0,2,0,0,0,0,48,1,0,26,26
587625,2255,12,1,4,0,16,5,7,4,60,1,0,1,3,6,12,17,24,41,1,0,32,27
587625,134,16,3,6,1,13,7,4,2,40,1,0,0,3,14,11,12,12,44,3,0,20,36
587626,2262,NaN,1,5,0,0,NaN,NaN,NaN,0,2,0,0,3,0,0,0,0,59,0,0,23,18
587626,2258,NaN,1,4,0,0,NaN,NaN,NaN,0,1,0,0,3,0,0,0,0,56,1,1,23,21
809832,105,NaN,NaN,1,0,0,NaN,NaN,NaN,0,4,0,0,3,0,0,0,0,50,1,2,33,17
809832,86,NaN,NaN,5,0,0,NaN,NaN,NaN,0,3,0,0,3,0,0,0,0,41,2,0,34,25
809833,132,13,0,7,0,13,5,8,NaN,43,3,0,0,2,9,13,17,17,36,0,0,32,32
809833,2266,14,1,5,3,13,9,4,NaN,57,1,0,0,3,11,13,13,25,45,3,0,25,30
809834,2260,13,2,5,2,15,8,2,5,49,4,0,0,2,12,10,9,8,47,2,0,23,30
809834,2265,7,0,3,2,7,3,3,1,51,3,0,1,2,4,6,15,18,50,0,0,25,25
809835,2261,NaN,NaN,3,0,0,NaN,NaN,NaN,0,2,0,0,3,0,0,0,0,44,1,0,35,21
809835,2805,NaN,NaN,2,0,0,NaN,NaN,NaN,0,1,0,0,3,0,0,0,0,53,0,0,32,15
1272382,2257,NaN,1,4,0,0,NaN,NaN,NaN,0,3,0,0,3,0,0,0,0,49,2,0,26,25
1272382,2261,NaN,0,5,0,0,NaN,NaN,NaN,0,3,0,1,3,0,0,0,0,43,1,0,31,26
1272383,2805,14,0,3,0,3,0,2,1,57,3,0,0,1,13,2,16,28,50,0,0,22,28
1272383,2259,16,3,10,0,10,2,6,2,43,2,0,0,1,4,8,14,32,63,1,0,15,22
1272385,134,NaN,NaN,1,0,0,NaN,NaN,NaN,0,2,0,0,3,0,0,0,0,47,1,0,30,23
1272385,2266,NaN,NaN,3,0,0,NaN,NaN,NaN,0,3,1,0,3,0,0,0,0,51,0,0,25,24
1272387,86,NaN,1,5,0,0,NaN,NaN,NaN,0,1,0,0,3,0,0,0,0,41,4,1,25,34
1272387,2255,NaN,2,2,0,0,NaN,NaN,NaN,0,1,0,0,3,0,0,0,0,54,1,0,22,24
1272389,2264,11,1,7,2,13,5,5,3,60,1,0,0,3,7,10,21,25,36,2,1,24,40
1272389,2254,20,1,3,1,8,1,6,1,40,4,0,0,3,7,7,13,20,54,0,0,18,28
