league,season,season_id,number_of_teams,number_of_matches,team_id_most_scored,team_most_scored_total_goals,player_id_most_scored,player_most_scored_total_goals,substituted_in_total,substituted_avg_per_match,substituted_avg_every_minutes,assists_total,assists_avg_per_match,assists_avg_every_minutes,cards_total,cards_avg_per_match,cards_avg_every_minutes,yellow_cards_total,yellow_cards_avg_per_match,yellow_cards_avg_every_minutes,yellowred_cards_total,yellowred_cards_avg_per_match,yellowred_cards_avg_every_minutes,red_cards_total,red_cards_avg_per_match,red_cards_avg_every_minutes,goals_total,goals_percentage_total_goals,goals_avg_per_match,goals_avg_every_minutes,home_goals_total,home_goals_percentage_total_goals,home_goals_avg_per_match,home_goals_avg_every_minutes,away_goals_total,away_goals_percentage_total_goals,away_goals_avg_per_match,away_goals_avg_every_minutes,clean_sheets_total,clean_sheets_avg_per_match,home_clean_sheets_total,home_clean_sheets_avg_per_match,away_clean_sheets_total,away_clean_sheets_avg_per_match,goals_scored_range_total_0To15,goals_scored_range_percentage_total_goals_0To15,goals_scored_range_total_15To30,goals_scored_range_percentage_total_goals_15To30,goals_scored_range_total_30To45,goals_scored_range_percentage_total_goals_30To45,goals_scored_range_total_45To60,goals_scored_range_percentage_total_goals_45To60,goals_scored_range_total_60To75,goals_scored_range_percentage_total_goals_60To75,goals_scored_range_total_75To90,goals_scored_range_percentage_total_goals_75To90,goals_scored_range_total_90To120,goals_scored_range_percentage_total_goals_90To120,goal_line_total_over_0p5,goal_line_percentage_total_matches_over_0p5,goal_line_total_over_1p5,goal_line_percentage_total_matches_over_1p5,goal_line_total_over_2p5,goal_line_percentage_total_matches_over_2p5,goal_line_total_over_3p5,goal_line_percentage_total_matches_over_3p5,goal_line_total_over_4p5,goal_line_percentage_total_matches_over_4p5,goal_line_total_over_5p5,goal_line_percentage_total_matches_over_5p5,goal_line_total_under_0p5,goal_line_percentage_total_matches_under_0p5,goal_line_total_under_1p5,goal_line_percentage_total_matches_under_1p5,goal_line_total_under_2p5,goal_line_percentage_total_matches_under_2p5,goal_line_total_under_3p5,goal_line_percentage_total_matches_under_3p5,goal_line_total_under_4p5,goal_line_percentage_total_matches_under_4p5,goal_line_total_under_5p5,goal_line_percentage_total_matches_under_5p5
ItalySerieA,2020,7325,20,49,394,16,8963,6,75,1.53,59,122,2.49,36,197,4.02,22,188,3.84,23,4,0.08,1103,5,0.1,882,183,3.81,24,24,102,2.08,43,43,81,1.65,54,54,19,38.78,12,24.49,7,14.29,26,14.21,28,15.3,31,16.94,26,14.21,28,15.3,38,20.77,0,0,96,195.92,86,175.51,66,134.69,48,97.96,40,81.63,20,40.82,2,4.08,2,24.49,2,65.31,2,102.04,2,118.37,2,159.18
ItalySerieA,2018,274,20,380,109,77,17283,26,1358,3.57,25,662,1.74,52,1787,4.7,19,1697,4.47,20,44,0.12,777,46,0.12,743,1019,2.95,34,34,564,1.48,61,61,455,1.2,75,75,211,55.53,121,31.84,90,23.68,132,12.95,114,11.19,183,17.96,185,18.16,176,17.27,229,22.47,0,0,692,182.11,568,149.47,394,103.68,216,56.84,112,29.47,40,10.53,68,17.89,68,50.53,68,96.32,68,143.16,68,170.53,68,189.47
ItalySerieA,2019,273,20,380,109,98,630,36,1462,3.85,23,717,1.89,48,1930,5.08,18,1828,4.81,19,48,0.13,713,54,0.14,633,1154,3.21,30,30,616,1.62,56,56,538,1.42,64,64,165,43.42,92,24.21,73,19.21,118,10.23,181,15.68,206,17.85,200,17.33,205,17.76,244,21.14,0,0,718,188.95,622,163.68,478,125.79,258,67.89,128,33.68,70,18.42,42,11.05,42,36.32,42,74.21,42,132.11,42,166.32,42,181.58
ItalySerieA,2020,7325,20,49,394,16,8963,6,75,1.53,59,122,2.49,36,197,4.02,22,188,3.84,23,4,0.08,1103,5,0.1,882,183,3.81,24,24,102,2.08,43,43,81,1.65,54,54,19,38.78,12,24.49,7,14.29,26,14.21,28,15.3,31,16.94,26,14.21,28,15.3,38,20.77,0,0,96,195.92,86,175.51,66,134.69,48,97.96,40,81.63,20,40.82,2,4.08,2,24.49,2,65.31,2,102.04,2,118.37,2,159.18
ItalySerieA,2018,274,20,380,109,77,17283,26,1358,3.57,25,662,1.74,52,1787,4.7,19,1697,4.47,20,44,0.12,777,46,0.12,743,1019,2.95,34,34,564,1.48,61,61,455,1.2,75,75,211,55.53,121,31.84,90,23.68,132,12.95,114,11.19,183,17.96,185,18.16,176,17.27,229,22.47,0,0,692,182.11,568,149.47,394,103.68,216,56.84,112,29.47,40,10.53,68,17.89,68,50.53,68,96.32,68,143.16,68,170.53,68,189.47
ItalySerieA,2019,273,20,380,109,98,630,36,1462,3.85,23,717,1.89,48,1930,5.08,18,1828,4.81,19,48,0.13,713,54,0.14,633,1154,3.21,30,30,616,1.62,56,56,538,1.42,64,64,165,43.42,92,24.21,73,19.21,118,10.23,181,15.68,206,17.85,200,17.33,205,17.76,244,21.14,0,0,718,188.95,622,163.68,478,125.79,258,67.89,128,33.68,70,18.42,42,11.05,42,36.32,42,74.21,42,132.11,42,166.32,42,181.58
ItalySerieA,2020,7325,20,49,394,16,8963,6,75,1.53,59,122,2.49,36,197,4.02,22,188,3.84,23,4,0.08,1103,5,0.1,882,183,3.81,24,24,102,2.08,43,43,81,1.65,54,54,19,38.78,12,24.49,7,14.29,26,14.21,28,15.3,31,16.94,26,14.21,28,15.3,38,20.77,0,0,96,195.92,86,175.51,66,134.69,48,97.96,40,81.63,20,40.82,2,4.08,2,24.49,2,65.31,2,102.04,2,118.37,2,159.18
PortugalPrimeiraLiga,2018,2043,18,306,100,103,20134,23,880,2.88,31,495,1.62,56,1503,4.91,18,1403,4.58,20,48,0.16,574,52,0.17,530,826,2.89,33,33,466,1.52,59,59,360,1.18,77,77,182,59.48,106,34.64,76,24.84,104,12.59,121,14.65,145,17.55,125,15.13,151,18.28,180,21.79,0,0,572,186.93,434,141.83,298,97.39,178,58.17,92,30.07,46,15.03,40,13.07,40,58.17,40,102.61,40,141.83,40,169.93,40,184.97
PortugalPrimeiraLiga,2019,2042,18,306,89,74,13253,18,1006,3.29,27,462,1.51,60,1580,5.16,17,1493,4.88,18,45,0.15,612,42,0.14,656,763,2.71,36,36,412,1.35,67,67,351,1.15,78,78,180,58.82,102,33.33,78,25.49,107,14.02,89,11.66,147,19.27,108,14.15,130,17.04,182,23.85,0,0,564,184.31,426,139.22,270,88.24,154,50.33,70,22.88,30,9.8,48,15.69,48,60.78,48,111.76,48,149.67,48,177.12,48,190.2
PortugalPrimeiraLiga,2020,7306,18,44,100,15,18259,5,41,0.93,97,72,1.64,55,207,4.7,19,196,4.45,20,4,0.09,990,7,0.16,566,107,2.68,37,37,48,1.09,83,83,59,1.34,67,67,27,61.36,12,27.27,15,34.09,11,10.28,21,19.63,20,18.69,16,14.95,18,16.82,21,19.63,0,0,80,181.82,60,136.36,36,81.82,20,45.45,12,27.27,6,13.64,8,18.18,8,63.64,8,118.18,8,154.55,8,172.73,8,186.36
